I / *:   0.8	-120	3.504E+14	3.335E+11	99.43	754.5  
I / *:   0.8	-115	3.504E+14	3.335E+11	99.2	737.9  
I / *:   0.8	-110	3.504E+14	3.814E+11	98.96	718.6  
I / *:   0.8	-105	3.504E+14	3.934E+11	98.71	397.7  
I / *:   0.8	-100	3.504E+14	4.29E+11	98.45	799.4  
I / *:   0.8	-95	3.504E+14	4.64E+11	98.19	699.3  
I / *:   0.8	-90	3.504E+14	5.348E+11	97.92	798.4  
I / *:   0.8	-85	3.504E+14	6.405E+11	97.64	699  
I / *:   0.8	-80	3.504E+14	7.233E+11	97.35	695.2  
I / *:   0.8	-75	3.504E+14	8.997E+11	97.05	695.7  
I / *:   0.8	-70	3.504E+14	1.076E+12	96.74	708.5  
I / *:   0.8	-65	3.504E+14	1.229E+12	96.42	687  
I / *:   0.8	-60	3.504E+14	1.514E+12	96.09	695.4  
I / *:   0.8	-55	3.504E+14	1.822E+12	95.75	787.3  
I / *:   0.8	-50	3.504E+14	2.367E+12	95.32	698.4  
I / *:   0.8	-45	3.504E+14	3.176E+12	94.8	696.6  
I / *:   0.8	-40	3.504E+14	4.037E+12	94.27	683.2  
I / *:   0.8	-35	3.504E+14	4.972E+12	93.7	671.7  
I / *:   0.8	-30	3.504E+14	5.882E+12	93.12	660.5  
I / *:   0.8	-25	3.504E+14	6.805E+12	92.5	661.6  
I / *:   0.8	-20	3.504E+14	7.909E+12	91.85	633.9  
I / *:   0.8	-15	3.504E+14	9.121E+12	91.18	597.9  
I / *:   0.8	-10	3.504E+14	1.054E+13	90.47	598  
I / *:   0.8	-5	3.504E+14	1.188E+13	88.59	599.9  
I / *:   0.8	0	3.504E+14	1.405E+13	84.55	1194  
I / *:   0.8	5	3.504E+14	1.845E+13	80.27	1197  
I / *:   0.8	10	3.504E+14	2.281E+13	75.78	1200  
I / *:   0.8	15	3.504E+14	2.673E+13	74.55	1392  
I / *:   0.8	20	3.504E+14	3.052E+13	73.96	1388  
I / *:   0.8	25	3.504E+14	3.461E+13	73.34	1295  
I / *:   0.8	30	3.504E+14	3.891E+13	72.67	1475  
I / *:   0.8	35	3.504E+14	4.413E+13	71.96	1369  
I / *:   0.8	40	3.504E+14	5.069E+13	69.41	1722  
I / *:   0.8	45	3.504E+14	5.909E+13	66.56	1734  
I / *:   0.8	50	3.504E+14	6.946E+13	63.7	1745  
I / *:   0.8	55	3.504E+14	8.15E+13	60.84	3457  
I / *:   0.8	60	3.504E+14	1.012E+14	58.01	2647  
I / *:   0.8	65	3.504E+14	1.153E+14	55.23	2692  
I / *:   0.8	70	3.504E+14	1.268E+14	52.51	5457  
I / *:   0.8	75	3.504E+14	1.378E+14	49.98	5489  
I / *:   0.8	80	3.504E+14	1.542E+14	49.45	5488  
I / *:   0.8	85	3.504E+14	1.695E+14	48.65	5492  
I / *:   0.8	90	3.504E+14	1.798E+14	47.83	5481  
I / *:   0.8	95	3.504E+14	1.894E+14	47	5444  
I / *:   0.8	100	3.504E+14	1.98E+14	46.16	5434  
I / *:   0.8	105	3.504E+14	2.062E+14	45.31	5448  
I / *:   0.8	110	3.504E+14	2.136E+14	44.46	5323  
I / *:   0.8	115	3.504E+14	2.192E+14	43.61	4675  
I / *:   0.8	120	3.504E+14	2.236E+14	42.76	5133  
I / *:   0.8	125	3.504E+14	2.275E+14	41.93	5448  
I / *:   0.8	130	3.504E+14	2.306E+14	41.1	4999  
I / *:   0.8	135	3.504E+14	2.337E+14	40.28	5291  
I / *:   0.8	140	3.504E+14	2.364E+14	39.48	4888  
I / *:   1	-140	3.504E+14	3.335E+11	98.82	783.2  
I / *:   1	-135	3.504E+14	3.335E+11	98.57	770.9  
I / *:   1	-130	3.504E+14	3.453E+11	98.3	756.6  
I / *:   1	-125	3.504E+14	3.641E+11	98.03	799.6  
I / *:   1	-120	3.504E+14	3.763E+11	97.75	797.4  
I / *:   1	-115	3.504E+14	4.004E+11	97.46	795.1  
I / *:   1	-110	3.504E+14	4.237E+11	97.16	792.9  
I / *:   1	-105	3.504E+14	4.95E+11	96.85	790.6  
I / *:   1	-100	3.504E+14	5.776E+11	96.53	788.4  
I / *:   1	-95	3.504E+14	6.714E+11	96.2	786.1  
I / *:   1	-90	3.504E+14	7.772E+11	95.85	783.9  
I / *:   1	-85	3.504E+14	9.418E+11	95.5	781.6  
I / *:   1	-80	3.504E+14	1.118E+12	95.14	779.3  
I / *:   1	-75	3.504E+14	1.284E+12	94.76	777.1  
I / *:   1	-70	3.504E+14	1.544E+12	94.38	774.8  
I / *:   1	-65	3.504E+14	1.911E+12	93.98	772.5  
I / *:   1	-60	3.504E+14	2.431E+12	93.57	770.3  
I / *:   1	-55	3.504E+14	3.109E+12	93.15	768  
I / *:   1	-50	3.504E+14	3.921E+12	92.71	765.7  
I / *:   1	-45	3.504E+14	5.03E+12	92.1	763.4  
I / *:   1	-40	3.504E+14	5.964E+12	91.43	761.2  
I / *:   1	-35	3.504E+14	6.961E+12	90.73	758.9  
I / *:   1	-30	3.504E+14	8.105E+12	90	756.6  
I / *:   1	-25	3.504E+14	9.162E+12	89.23	754.3  
I / *:   1	-20	3.504E+14	1.067E+13	88.43	752  
I / *:   1	-15	3.504E+14	1.207E+13	87.22	892.7  
I / *:   1	-10	3.504E+14	1.494E+13	82.9	1200  
I / *:   1	-5	3.504E+14	1.966E+13	78.31	1200  
I / *:   1	0	3.504E+14	2.331E+13	74.83	1199  
I / *:   1	5	3.504E+14	2.72E+13	74.26	1380  
I / *:   1	10	3.504E+14	3.063E+13	73.64	1389  
I / *:   1	15	3.504E+14	3.467E+13	72.98	1482  
I / *:   1	20	3.504E+14	3.856E+13	72.28	1319  
I / *:   1	25	3.504E+14	4.35E+13	69.41	1393  
I / *:   1	30	3.504E+14	4.93E+13	66.38	1396  
I / *:   1	35	3.504E+14	5.665E+13	63.32	1703  
I / *:   1	40	3.504E+14	6.635E+13	60.26	1740  
I / *:   1	45	3.504E+14	7.608E+13	57.22	1733  
I / *:   1	50	3.504E+14	9.019E+13	54.21	4993  
I / *:   1	55	3.504E+14	1.073E+14	51.27	2671  
I / *:   1	60	3.504E+14	1.214E+14	49.72	2432  
I / *:   1	65	3.504E+14	1.331E+14	49.2	5424  
I / *:   1	70	3.504E+14	1.455E+14	48.44	5470  
I / *:   1	75	3.504E+14	1.632E+14	47.59	5484  
I / *:   1	80	3.504E+14	1.769E+14	46.73	5372  
I / *:   1	85	3.504E+14	1.871E+14	45.85	5468  
I / *:   1	90	3.504E+14	1.97E+14	44.97	5493  
I / *:   1	95	3.504E+14	2.055E+14	44.09	5242  
I / *:   1	100	3.504E+14	2.137E+14	43.2	5494  
I / *:   1	105	3.504E+14	2.203E+14	42.32	5080  
I / *:   1	110	3.504E+14	2.253E+14	41.45	5359  
I / *:   1	115	3.504E+14	2.293E+14	40.59	5240  
I / *:   1	120	3.504E+14	2.329E+14	39.75	4944  
I / *:   1	125	3.504E+14	2.359E+14	38.92	5198  
I / *:   1	130	3.504E+14	2.386E+14	38.11	4814  
I / *:   1	135	3.504E+14	2.414E+14	37.33	4984  
I / *:   1	140	3.504E+14	2.435E+14	36.57	4980  
I / *:   1.2	-140	3.504E+14	3.641E+11	97.33	763.8  
I / *:   1.2	-135	3.504E+14	3.641E+11	97.03	748.2  
I / *:   1.2	-130	3.504E+14	3.999E+11	96.71	735  
I / *:   1.2	-125	3.504E+14	4.121E+11	96.38	732.5  
I / *:   1.2	-120	3.504E+14	4.357E+11	96.04	729.9  
I / *:   1.2	-115	3.504E+14	4.775E+11	95.69	797.5  
I / *:   1.2	-110	3.504E+14	5.664E+11	95.32	793.4  
I / *:   1.2	-105	3.504E+14	7.032E+11	94.95	796.8  
I / *:   1.2	-100	3.504E+14	7.62E+11	94.56	785.2  
I / *:   1.2	-95	3.504E+14	9.691E+11	94.17	799.3  
I / *:   1.2	-90	3.504E+14	1.11E+12	93.75	798.2  
I / *:   1.2	-85	3.504E+14	1.298E+12	93.33	797  
I / *:   1.2	-80	3.504E+14	1.523E+12	92.89	795.9  
I / *:   1.2	-75	3.504E+14	1.819E+12	92.44	794.7  
